"Title","Default language","Default text","en-US text","Variant status","Placeholder"
"Quick Links","English","Quick Links","Quick Links","Active","dc.quick_links"
"Resources","English","Resources","Resources","Active","dc.resources"
"Related Sites","English","Related Sites","Related Sites","Active","dc.related_sites"
"Getting Started","English","Getting Started","Getting Started","Active","dc.getting_started"
"No Section in Category","English","No Section in Category","No Section in Category","Active","dc.no_section_in_category"
"Footer_All Rights Reserved","English","All Rights Reserved","All Rights Reserved","Active","dc.all_rights_reserved"
"Still Need Help","English","Still Need Help?","Still Need Help?","Active","dc.still_need_help"
"No Articles in Section","English","No Articles in Section","No Articles in Section","Active","dc.no_articles_in_section"
"Sorry We Searched Far Into Outer Space But Couldnt Find","English","Sorry! We searched far into outer space, but couldn't find","Sorry! We searched far into outer space, but couldn't find","Active","dc.sorry_we_searched_far_into_outer_space_but_couldnt_find"
"Avatar","English","Avatar","Avatar","Active","dc.avatar"
"View All","English","View All","View All","Active","dc.view_all"
"How Can We Help","English","How can we help?","How can we help?","Active","dc.how_can_we_help"
"Administering Liferay Analytics Cloud","English","Administering Liferay Analytics Cloud","Administering Liferay Analytics Cloud","Active","dc.administering_liferay_analytics_cloud"
"Let us know if you cant find a solution to your issue","English","Let us know if you can't find a solution to your issue.","Let us know if you can't find a solution to your issue.","Active","dc.let_us_know_if_you_cant_find_a_solution_to_your_issue"
"Analytics Cloud","English","Analytics Cloud","Analytics Cloud","Active","dc.analytics_cloud"
"Submit a Ticket","English","Submit a Ticket","Submit a Ticket","Active","dc.submit_a_ticket"
"Products","English","Products","Products","Active","dc.products"
"Support","English","Support","Support","Active","dc.support"
"Project Details","English","Project Details","Project Details","Active","dc.project_details"
"Help Center","English","Help Center","Help Center","Active","dc.help_center"
"Security","English","Security","Security","Active","dc.security"
"Commerce","English","Commerce","Commerce","Active","dc.commerce"
"Portal","English","Portal","Portal","Active","dc.portal"
"Contact Us","English","Contact Us","Contact Us","Active","dc.contact_us"
"Subject Ticket Field - Title","English","Subject","Subject","Active","dc.subject_ticket_field_-_title"
"We are sorry but you do not have access to submit a support ticket","English","We are sorry, but you do not have access to submit a support ticket.","We are sorry, but you do not have access to submit a support ticket.","Active","dc.we_are_sorry_but_you_do_not_have_access_to_submit_a_support_ticket"
"Browse by Product","English","Browse by Product","Browse by Product","Active","dc.browse_by_product"
"DXP Cloud","English","DXP Cloud","DXP Cloud","Active","dc.dxp_cloud"
"Development Guide","English","Development Guide","Development Guide","Active","dc.development_guide"
"Analytics Cloud Documentation","English","Analytics Cloud Documentation","Analytics Cloud Documentation","Active","dc.analytics_cloud_documentation"
"Support Information","English","Support Information","Support Information","Active","dc.support_information"
"Admin Guide","English","Admin Guide","Admin Guide","Active","dc.admin_guide"
"Knowledge Base","English","Knowledge Base","Knowledge Base","Active","dc.knowledge_base"
"Known Issues","English","Known Issues","Known Issues","Active","dc.known_issues"
"Mega Menu_Announcements","English","Announcements","Announcements","Active","dc.mega_menu_announcements"
"7.1::Page Heading","English","Liferay Digital Experience Platform 7.1","Liferay Digital Experience Platform 7.1","Active","dc.7_1_page_heading"
"Mega Menu::Products","English","Products","Products","Active","dc.mega_menu-products"
"Mega Menu::DXP 7.1","English","DXP 7.1","DXP 7.1","Active","dc.mega_menu-dxp_7_1"
"Mega Menu::DXP 7.0","English","DXP 7.0","DXP 7.0","Active","dc.mega_menu-dxp_7_0"
"Mega Menu::Commerce","English","Commerce","Commerce","Active","dc.mega_menu-commerce"
"Mega Menu::Portal 6.2","English","Portal 6.2","Portal 6.2","Active","dc.mega_menu-portal_6_2"
"Mega Menu::Analytics Cloud","English","Analytics Cloud","Analytics Cloud","Active","dc.mega_menu-analytics_cloud"
"Mega Menu::DXP Cloud","English","DXP Cloud","DXP Cloud","Active","dc.mega_menu-dxp_cloud"
"Mega Menu::Downloads Description","English","Products, service packs, fix packs, and security fixes","Products, service packs, fix packs, and security fixes","Active","dc.mega_menu-downloads_description"
"Mega Menu::Fix Pack Tool","English","Fix Pack Tool","Fix Pack Tool","Active","dc.mega_menu-fix_pack_tool"
"Mega Menu::Documentation Description","English","Product guides, tutorials, and reference docs","Product guides, tutorials, and reference docs","Active","dc.mega_menu-documentation_description"
"Mega Menu::Portal 6.1","English","Portal 6.1","Portal 6.1","Active","dc.mega_menu-portal_6_1"
"Mega Menu::Portal 6.0","English","Portal 6.0","Portal 6.0","Active","dc.mega_menu-portal_6_0"
"Mega Menu::Resources","English","Resources","Resources","Active","dc.mega_menu-resources"
"Mega Menu::Downloads","English","Downloads","Downloads","Active","dc.mega_menu-downloads"
"Mega Menu::Fix Pack Tool Description","English","View highlights and release notes for Liferay DXP fix packs","View highlights and release notes for Liferay DXP fix packs","Active","dc.mega_menu-fix_pack_tool_description"
"Mega Menu::Knowledge Base","English","Knowledge Base","Knowledge Base","Active","dc.mega_menu-knowledge_base"
"Mega Menu::Documentation","English","Documentation","Documentation","Active","dc.mega_menu-documentation"
"Mega Menu::Knowledge Base Description","English","A library of articles on recurring topics, issues, and themes","A library of articles on recurring topics, issues, and themes","Active","dc.mega_menu-knowledge_base_description"
"Mega Menu::Announcements","English","Announcements","Announcements","Active","dc.mega_menu-announcements"
"Mega Menu::Announcements Description","English","Updates on product releases, patches, and system improvements","Updates on product releases, patches, and system improvements","Active","dc.mega_menu-announcements_description"
"Mega Menu::Activation Keys Description","English","Activate your environments to get a project started","Activate your environments to get a project started","Active","dc.mega_menu-activation_keys_description"
"Mega Menu::Security Advisories Description","English","Information and fixes for known vulnerabilities","Information and fixes for known vulnerabilities","Active","dc.mega_menu-security_advisories_description"
"Mega Menu::Security and Disclosure Policy","English","Security and Disclosure Policy","Security and Disclosure Policy","Active","dc.mega_menu-security_and_disclosure_policy"
"Mega Menu::Security and Disclosure Policy Description","English","Policy for reported security issues in Liferay products","Policy for reported security issues in Liferay products","Active","dc.mega_menu-security_and_disclosure_policy_description"
"Mega Menu::Activation Keys","English","Activation Keys","Activation Keys","Active","dc.mega_menu-activation_keys"
"Mega Menu::Support","English","Support","Support","Active","dc.mega_menu-support"
"Mega Menu::Security","English","Security","Security","Active","dc.mega_menu-security"
"Mega Menu::Compatibility Matrix Description","English","Supported configurations for Liferay products","Supported configurations for Liferay products","Active","dc.mega_menu-compatibility_matrix_description"
"Mega Menu::Overview","English","Overview","Overview","Active","dc.mega_menu-overview"
"Mega Menu::Fix Delivery Method Description","English","How Liferay delivers software updates","How Liferay delivers software updates","Active","dc.mega_menu-fix_delivery_method_description"
"Mega Menu::Overview Description","English","Background statement on how Liferay approaches security","Background statement on how Liferay approaches security","Active","dc.mega_menu-overview_description"
"Mega Menu::Support Coverage","English","Support Coverage","Support Coverage","Active","dc.mega_menu-support_coverage"
"Mega Menu::Reporting Security Issues","English","Reporting Security Issues","Reporting Security Issues","Active","dc.mega_menu-reporting_security_issues"
"Mega Menu::Support Coverage Description","English","Overview of Liferay's support policies","Overview of Liferay's support policies","Active","dc.mega_menu-support_coverage_description"
"Mega Menu::Reporting Security Issues Description","English","Process for reporting security vulnerabilities on Liferay products","Process for reporting security vulnerabilities on Liferay products","Active","dc.mega_menu-reporting_security_issues_description"
"Mega Menu::Support FAQs","English","Support FAQs","Support FAQs","Active","dc.mega_menu-support_faqs"
"Mega Menu::Security Advisories","English","Security Advisories","Security Advisories","Active","dc.mega_menu-security_advisories"
"Mega Menu::Support FAQs Description","English","Answers to common support-related questions","Answers to common support-related questions","Active","dc.mega_menu-support_faqs_description"
"Mega Menu::Compatibility Matrix","English","Compatibility Matrix","Compatibility Matrix","Active","dc.mega_menu-compatibility_matrix"
"Mega Menu::Service Levels","English","Service Levels","Service Levels","Active","dc.mega_menu-service_levels"
"Mega Menu::Service Life","English","Service Life","Service Life","Active","dc.mega_menu-service_life"
"Mega Menu::Service Levels Description","English","A summary of benefits included with each subscription level","A summary of benefits included with each subscription level","Active","dc.mega_menu-service_levels_description"
"Mega Menu::Service Life Description","English","End of life policies for Liferay products","End of life policies for Liferay products","Active","dc.mega_menu-service_life_description"
"Mega Menu::Submit a Ticket","English","Submit a Ticket","Submit a Ticket","Active","dc.mega_menu-submit_a_ticket"
"Mega Menu::Fix Delivery Method","English","Fix Delivery Method","Fix Delivery Method","Active","dc.mega_menu-fix_delivery_method"
"Mega Menu::Contact Us","English","Contact Us","Contact Us","Active","dc.mega_menu-contact_us"
"Mega Menu::My Tickets","English","My Tickets","My Tickets","Active","dc.mega_menu-my_tickets"
"Homepage::How can we help?","English","How can we help?","How can we help?","Active","dc.homepage-how_can_we_help"
"Mega Menu::Project Details","English","Project Details","Project Details","Active","dc.mega_menu-project_details"
"Homepage::Browse by Product","English","Browse by Product","Browse by Product","Active","dc.homepage-browse_by_product"
"Homepage::Search the Help Center","English","Search the Help Center","Search the Help Center","Active","dc.homepage-search_the_help_center"
"Homepage::Security Updates","English","Security Updates","Security Updates","Active","dc.homepage-security_updates"
"Homepage::See More","English","See More","See More","Active","dc.homepage-see_more"
"Homepage::Events","English","Events","Events","Active","dc.homepage-events"
"Homepage::Portal 5.2","English","Portal 5.2","Portal 5.2","Active","dc.homepage-portal_5_2"
"Homepage::Announcement Subscribe Description","English","Get the latest updates on products, patches, and system improvements.","Get the latest updates on products, patches, and system improvements.","Active","dc.homepage-announcement_subscribe_description"
"Homepage::Product Releases","English","Product Releases","Product Releases","Active","dc.homepage-product_releases"
"Homepage::Announcement Subscribe Button","English","Subscribe","Subscribe","Active","dc.homepage-announcement_subscribe_button"
"Homepage::Fix Pack Updates","English","Fix Pack Updates","Fix Pack Updates","Active","dc.homepage-fix_pack_updates"
"Homepage::Still Need Help?","English","Still Need Help?","Still Need Help?","Active","dc.homepage-still_need_help"
"Homepage::Announcement Subscribe Heading","English","Receive Notifications","Receive Notifications","Active","dc.homepage-announcement_subscribe_heading"
"Homepage::Contact Us Description","English","Speak directly with a Liferay Support team member by phone.","Speak directly with a Liferay Support team member by phone.","Active","dc.homepage-contact_us_description"
"Homepage::Submit a Ticket Description","English","Open a support case to report an issue and receive help from a Liferay Support Team member.","Open a support case to report an issue and receive help from a Liferay Support Team member.","Active","dc.homepage-submit_a_ticket_description"
"Homepage::Ask the Community","English","Ask the Community","Ask the Community","Active","dc.homepage-ask_the_community"
"Homepage::Contact Us Asterisk Description","English","*24/7 phone support is available for Platinum Level Critical issues only.","*24/7 phone support is available for Platinum Level Critical issues only.","Active","dc.homepage-contact_us_asterisk_description"
"Homepage::Liferay University","English","Liferay University","Liferay University","Active","dc.homepage-liferay_university"
"Homepage::Ask the Community Description","English","Learn and share knowledge with others in the global Liferay community.","Learn and share knowledge with others in the global Liferay community.","Active","dc.homepage-ask_the_community_description"
"Homepage::Liferay University Description","English","Train your team on the essentials of using Liferay with in-depth videos and hands-on exercises designed to mimic in-person training.","Train your team on the essentials of using Liferay with in-depth videos and hands-on exercises designed to mimic in-person training.","Active","dc.homepage-liferay_university_description"
"Homepage::Ask the Community Asterisk Description","English","*Please note that information found on the Liferay Community site is not supported and should be implemented at your own discretion.","*Please note that information found on the Liferay Community site is not supported and should be implemented at your own discretion.","Active","dc.homepage-ask_the_community_asterisk_description"
"Homepage: Learn More","English","Learn More","Learn More","Active","dc.homepage_learn_more"
"Homepage: Liferay Global Services Description","English","Gain extensive product and development knowledge from experts to maximize your ROI.","Gain extensive product and development knowledge from experts to maximize your ROI.","Active","dc.homepage_liferay_global_services_description"
"Homepage: Liferay Global Services","English","Liferay Global Services","Liferay Global Services","Active","dc.homepage_liferay_global_services"
"Footer::Subscription","English","Subscription","Subscription","Active","dc.footer-subscription"
"Footer:: Contact Us","English","Contact Us","Contact Us","Active","dc.footer-_contact_us"
"Footer::Liferay.com","English","Liferay.com","Liferay.com","Active","dc.footer-liferay_com"
"Footer::Related Sites","English","Related Sites","Related Sites","Active","dc.footer-related_sites"
"Footer::Marketplace","English","Marketplace","Marketplace","Active","dc.footer-marketplace"
"7.1::Latest Release Card","English","Latest Release","Latest Release","Active","dc.7_1-latest_release_card"
"Footer::All Rights Reserved","English","All Rights Reserved","All Rights Reserved","Active","dc.footer-all_rights_reserved"
"7.1::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay DXP 7.1.","Learn about the supported configurations for Liferay DXP 7.1.","Active","dc.7_1-compatibility_matrix_card_description"
"7.1::Top Resources Tab","English","Top Resources","Top Resources","Active","dc.7_1-top_resources_tab"
"7.1::Fix Packs Card","English","Fix Packs","Fix Packs","Active","dc.7_1-fix_packs_card"
"7.1::Latest Release Card Description","English","Download the latest release of Liferay DXP 7.1.","Download the latest release of Liferay DXP 7.1.","Active","dc.7_1-latest_release_card_description"
"7.1::Fix Packs Card Description","English","Download and install the latest fix pack to ensure you are on the current code base.","Download and install the latest fix pack to ensure you are on the current code base.","Active","dc.7_1-fix_packs_card_description"
"7.1::Activation Keys Card Description","English","Activate your Liferay DXP 7.1 environments to get started on your project.","Activate your Liferay DXP 7.1 environments to get started on your project.","Active","dc.7_1-activation_keys_card_description"
"7.1::Upgrading Card","English","Upgrading","Upgrading","Active","dc.7_1-upgrading_card"
"7.1::Upgrading Card Description","English","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.1.","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.1.","Active","dc.7_1-upgrading_card_description"
"7.1::Announcements Card Description","English","Get the latest updates on new releases, patches, and system improvements.","Get the latest updates on new releases, patches, and system improvements.","Active","dc.7_1-announcements_card_description"
"7.1::Service Packs Archive Card","English","Service Packs Archive","Service Packs Archive","Active","dc.7_1-service_packs_archive_card"
"7.1::Security Advisories Card Description","English","Learn more about known security vulnerabilities and fixes for Liferay DXP 7.1.","Learn more about known security vulnerabilities and fixes for Liferay DXP 7.1.","Active","dc.7_1-security_advisories_card_description"
